Titre,Date,Lieux,Ville,Type,prix
"
      FC BARCELONE / UD ALMERIA
    ","
      19 décembre 2023
    ",STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"

      66.00 "
"
      BELLEWAERDE - LES JOURS GIVRÉS
    ","
      9 décembre 2023
    ",BELLEWAERDE PARK,YPRES,PARC - PARC DE LOISIRS,"

      25.50 "
"
      LETZ ZEP & THE DOORS IN CONCERT
    ","
      21 décembre 2023
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"

      39.50 "
"
      BELLEWAERDE AQUAPARK
    ","
      16 janvier 2023
    ",BELLEWAERDE AQUAPARK,YPRES,PARC - PARC AQUATIQUE,"

      9.00 "
"
      EUROPA-PARK - HAUTE SAISON - 1 JOUR
    ","
      1 avril 2023
    ",EUROPA PARK,RUST,PARC - PARC DE LOISIRS,"

      56.00 "
"
      LA TROUPE DE JAMEL
    ","
      1 février 2024
    ",ROCKHAL - MAIN HALL,ESCH/ALZETTE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,"

      40.00 "
"
      VIRTUAL ROOM BRUXELLES-REALITE VIRTUELLE
    ","
      31 décembre 2023
    ",VIRTUAL ROOM - BRUXELLES,BRUXELLES,LOISIRS ET TOURISME - GAMING,"

      30.00 "
"
      AQUARIUM DE BARCELONA
    ","
      1 juin 2023
    ",AQUARIUM DE BARCELONA,BARCELONA,PARC - PARC ANIMALIER,"

      18.00 "
"
      FUNNY-WORLD
    ","
      5 avril 2023
    ",PARC D'ATTRACTIONS FUNNY-WORLD,KAPPEL-GRAFENHAUSEN,PARC - PARC DE LOISIRS,"

      14.50 "
"
      VOL EN MONTGOLFIERE - DIVERS LIEUX
    ","
      1 janvier 2023
    ",FRANCE MONTGOLFIERE,FRANCE,LOISIRS ET TOURISME - VISITE ET EXCURSION,"

      165.00 "
"
      VIRTUAL PARK - MISSION FAMILY & FRIENDS
    ","
      11 août 2022
    ",VIRTUAL PARK,MOUSCRON,PARC - PARC DE LOISIRS,"

      31.50 "
"
      VIRTUAL PARK - MISSION SAVE THE WORLD
    ","
      10 août 2022
    ",VIRTUAL PARK,MOUSCRON,PARC - PARC DE LOISIRS,"

      40.50 "
"
      VIRTUAL PARK - DISCOVERY MISSION
    ","
      11 août 2022
    ",VIRTUAL PARK,MOUSCRON,PARC - PARC DE LOISIRS,"

      22.50 "
"
      REAL MADRID / MALLORCA
    ","
      2 janvier 2024
    ",STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"

      165.00 "
"
      EUROPA-PARK - BASSE SAISON - 1 JOUR
    ","
      25 mars 2023
    ",EUROPA PARK,RUST,PARC - PARC DE LOISIRS,"

      49.00 "
"
      CASSE-NOISETTE - BALLET ET ORCHESTRE
    ","
      19 janvier 2024
    ",ROCKHAL - MAIN HALL,ESCH/ALZETTE,DANSE - DANSE CLASSIQUE,"

      52.00 "
"
      CHAPLIN'S WORLD - BILLET PERIODE NOEL CE
    ","
      2 décembre 2023
    ",CHAPLIN'S WORLD,CORSIER-SUR-VEVEY,EXPOSITION ET MUSEE - MUSEE,
"
      WALIBI BELGIUM - WINTER 2023
    ","
      16 décembre 2023
    ",WALIBI BELGIUM,WAVRE,PARC - PARC DE LOISIRS,"

      35.50 "
"
      WALIBI BELGIUM - LES JOURS GIVRÉS
    ","
      16 décembre 2023
    ",WALIBI BELGIUM,WAVRE,PARC - PARC DE LOISIRS,"

      32.50 "
"
      BELLEWAERDE - NOEL 2023
    ","
      9 décembre 2023
    ",BELLEWAERDE PARK,YPRES,PARC - PARC DE LOISIRS,"

      32.00 "
"
      PORTAVENTURA PARK + FERRARI LAND
    ","
      3 avril 2023
    ",PORTAVENTURA WORLD,VILA-SECA,PARC - PARC DE LOISIRS,"

      67.00 "
"
      PORTAVENTURA PARK
    ","
      31 mars 2023
    ",PORTAVENTURA WORLD,VILA-SECA,PARC - PARC DE LOISIRS,"

      57.00 "
"
      EUROPA-PARK - HAUTE SAISON - 2 JOURS
    ","
      1 avril 2023
    ",EUROPA PARK,RUST,PARC - PARC DE LOISIRS,"

      102.00 "
"
      EUROPA-PARK - BASSE SAISON - 2 JOURS
    ","
      25 mars 2023
    ",EUROPA PARK,RUST,PARC - PARC DE LOISIRS,"

      90.00 "
"
      CHAPLIN'S WORLD
    ","
      21 janvier 2023
    ",CHAPLIN'S WORLD,CORSIER-SUR-VEVEY,EXPOSITION ET MUSEE - MUSEE,"

      19.00 "
"
      PLOPSAQUA - PROMOTION
    ","
      30 octobre 2023
    ",PLOPSAQUA,LA PANNE,PARC - PARC AQUATIQUE,"

      19.25 "
"
      MUSEE OCEANOGRAPHIQUE DE MONACO
    ","
      1 janvier 2023
    ",MUSEE OCEANOGRAPHIQUE/AQUARIUM,MONACO,EXPOSITION ET MUSEE - MUSEE,"

      12.00 "
"
      ADOS VS PARENTS : MODE D'EMPLOI
    ","
      12 janvier 2024
    ",CENTRE CULTUREL D'AUDERGHEM,BRUXELLES,THEATRE - COMEDIE,"

      21.00 "
"
      GIANT ROOKS
    ","
      12 janvier 2024
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"

      36.20 "
"
      KLEK ENTÓS
    ","
      12 janvier 2024
    ",SALLE PRINCE PIERRE - GRIMALDI FORUM,MONACO,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,"

      41.50 "
"
      LE CLAN DES DIVORCEES
    ","
      12 janvier 2024
    ",CENTRE CULTUREL D'AUDERGHEM,BRUXELLES,THEATRE - COMEDIE,"

      37.20 "
"
      ATLETICO MADRID / RAYO VALLECANO
    ","
      13 janvier 2024
    ",CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"

      71.50 "
"
      FC BARCELONE / OSASUNA
    ","
      13 janvier 2024
    ",STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"

      66.00 "
"
      TESSERACT
    ","
      18 janvier 2024
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - HARD METAL,"

      34.20 "
"
      CHRISTOPHE MAE
    ","
      19 janvier 2024
    ",FOREST NATIONAL,BRUXELLES,CONCERT - VARIETE ET CHANSON FRANCAISE,"

      35.00 "
"
      REAL MADRID / ALMERIA
    ","
      20 janvier 2024
    ",STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"

      137.50 "
"
      REAL MADRID / GIRONA
    ","
      10 février 2024
    ",STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"

      143.00 "
"
      ATLETICO MADRID / VALENCIA
    ","
      27 janvier 2024
    ",CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"

      93.50 "
"
      FC BARCELONE / VILLARREAL
    ","
      27 janvier 2024
    ",STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"

      82.50 "
"
      PERIPHERY
    ","
      29 janvier 2024
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - HARD METAL,"

      34.20 "
"
      JAMES BLUNT
    ","
      25 février 2024
    ",ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"

      61.00 "
"
      K'S CHOICE
    ","
      31 janvier 2024
    ",CENTRE CULTUREL DUDELANGE OPDERSCHMELZ,DUDELANGE,CONCERT - POP ROCK FOLK,"

      32.20 "
"
      FLAVIEN BERGER
    ","
      1 février 2024
    ",DEN ATELIER,LUXEMBOURG,CONCERT - MUSIQUE ELECTRONIQUE,"

      30.20 "
"
      LETO
    ","
      2 février 2024
    ",DEN ATELIER,LUXEMBOURG,CONCERT - RAP HIP-HOP SLAM,"

      35.20 "
"
      REAL MADRID / ATLETICO MADRID
    ","
      3 février 2024
    ",STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"

      385.00 "
"
      ABBA GOLD – The Concert Show
    ","
      26 mai 2024
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"

      45.00 "
"
      GLAUQUE
    ","
      3 février 2024
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - RAP HIP-HOP SLAM,"

      24.00 "
"
      GLORYHAMMER & BEAST IN BLACK
    ","
      4 février 2024
    ",GARAGE,SARREBRUCK/SARRE,CONCERT - HARD METAL,"

      50.71 "
"
      REAL MADRID / CELTA VIGO
    ","
      9 mars 2024
    ",STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"

      143.00 "
"
      NAIM
    ","
      4 mai 2024
    ",CHAPITO - CASINO 2000,MONDORF LES BAINS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,"

      39.00 "
"
      BATTLE BEAST
    ","
      8 février 2024
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - HARD METAL,"

      31.20 "
"
      WISHBONE ASH
    ","
      9 février 2024
    ",CENTRE CULTUREL DUDELANGE OPDERSCHMELZ,DUDELANGE,CONCERT - POP ROCK FOLK,"

      27.20 "
"
      Goldmen
    ","
      9 février 2024
    ",CHAPITO - CASINO 2000,MONDORF LES BAINS,CONCERT - VARIETE ET CHANSON FRANCAISE,"

      39.00 "
"
      FC BARCELONE / GRANADA
    ","
      10 février 2024
    ",STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"

      66.00 "
"
      THE BOOTLEG BEATLES
    ","
      13 février 2024
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"

      35.20 "
"
      CALOGERO
    ","
      2 mars 2024
    ",ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - VARIETE ET CHANSON FRANCAISE,"

      59.00 "
"
      FREEZE CORLEONE
    ","
      16 février 2024
    ",ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - RAP HIP-HOP SLAM,"

      42.50 "
"
      ATLETICO MADRID / LAS PALMAS
    ","
      17 février 2024
    ",CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"

      71.50 "
"
      FESTIVAL INTERNATIONAL VIVE LA MAGIE
    ","
      17 février 2024
    ",CENTRE CULTUREL D'AUDERGHEM,BRUXELLES,SPECTACLE ET COMEDIE MUSICALE - MAGIE,"

      34.50 "
"
      SCARY POCKETS
    ","
      17 février 2024
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - JAZZ,"

      30.20 "
"
      ROCK IN RIO LISBOA 2024 - WEEKEND PASS
    ","
      15 juin 2024
    ",PARQUE URBANO DO TEJO E DO TRANCAO,LISBOA,FESTIVAL - FESTIVAL MUSIQUE,"

      147.00 "
"
      TSEW THE KID
    ","
      23 février 2024
    ",DEN ATELIER,LUXEMBOURG,CONCERT - RAP HIP-HOP SLAM,"

      30.20 "
"
      FC BARCELONE / GETAFE
    ","
      24 février 2024
    ",STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"

      82.50 "
"
      REAL MADRID / SEVILLA
    ","
      24 février 2024
    ",STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"

      187.00 "
"
      CENDRILLON
    ","
      24 février 2024
    ",THEATRE DE LA LOUVIERE,LA LOUVIÈRE,THEATRE - COMEDIE,"

      13.60 "
"
      ADOS VS PARENTS : MODE D'EMPLOI
    ","
      24 février 2024
    ",THEATRE DE LA LOUVIERE,LA LOUVIÈRE,THEATRE - COMEDIE,"

      21.00 "
"
      LE CLAN DES DIVORCEES
    ","
      24 février 2024
    ",THEATRE DE LA LOUVIERE,LA LOUVIÈRE,THEATRE - COMEDIE,"

      37.20 "
"
      IAM
    ","
      26 février 2024
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - RAP HIP-HOP SLAM,"

      46.50 "
"
      HOLLY HUMBERSTONE
    ","
      27 février 2024
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"

      28.20 "
"
      DIONYSOS
    ","
      28 février 2024
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"

      37.70 "
